Datetime,DATE        ,TIME            ,A_PM01          ,W_PM01,VA_PM01         ,VAR_PM01        ,VLL_PM01        ,VLN_PM01        ,PF_PM01         
27/07/2017 07:15,27/07/2017,07:15:00,155.43847,50216.15243,106242.6153,-92803.7513,395.27932,228.2319,n/a             
27/07/2017 07:30,27/07/2017,07:30:00,154.42376,50332.52782,104669.8235,-91021.87552,392.16306,226.41943,n/a             
27/07/2017 07:45,27/07/2017,07:45:00,156.70059,56929.14332,105787.6417,-88456.74332,390.07614,225.21814,n/a             
27/07/2017 08:00,27/07/2017,08:00:00,157.24522,59121.07153,106287.8352,-87473.05929,390.36334,225.38018,n/a             
27/07/2017 08:15,27/07/2017,08:15:00,160.8068,64471.99449,107678.1543,-85176.93299,386.85155,223.35245,n/a             
27/07/2017 08:30,27/07/2017,08:30:00,159.22154,67691.72873,106429.8406,-80968.30582,386.06253,222.89659,n/a             
27/07/2017 08:45,27/07/2017,08:45:00,147.8711,56682.3987,98598.61328,-79820.21024,385.4709,222.55502,n/a             
27/07/2017 09:00,27/07/2017,09:00:00,144.98819,54714.65681,96441.33915,-78456.9145,384.54795,222.02221,n/a             
27/07/2017 09:15,27/07/2017,09:15:00,156.40415,70408.41554,103824.5411,-74898.93351,383.80933,221.59588,n/a             
27/07/2017 09:30,27/07/2017,09:30:00,159.1884,72292.94653,105709.5311,-75836.29896,383.65306,221.51035,n/a             
27/07/2017 09:45,27/07/2017,09:45:00,158.31238,72089.05707,104927.7347,-75083.05642,382.79437,221.00418,n/a             
27/07/2017 10:00,27/07/2017,10:00:00,156.12254,68355.51523,103593.1344,-76634.37109,383.37201,221.34343,n/a             
27/07/2017 10:15,27/07/2017,10:15:00,160.03693,73192.14579,106182.6445,-75772.54193,383.31888,221.30755,n/a             
27/07/2017 10:30,27/07/2017,10:30:00,n/a             ,n/a             ,n/a             ,n/a             ,n/a             ,n/a             ,n/a             
27/07/2017 10:45,27/07/2017,10:45:00,n/a             ,n/a             ,n/a             ,n/a             ,n/a             ,n/a             ,n/a             
27/07/2017 11:00,27/07/2017,11:00:00,153.58259,68979.56885,101685.5002,-73626.29583,382.70322,220.96081,-0.67638
27/07/2017 11:15,27/07/2017,11:15:00,157.62575,71691.60688,104320.0411,-74561.8839,382.88298,221.06081,-0.68496
27/07/2017 11:30,27/07/2017,11:30:00,158.51837,75379.99933,105067.4662,-71897.44061,383.15883,221.19648,-0.71491
27/07/2017 11:45,27/07/2017,11:45:00,n/a             ,n/a             ,n/a             ,n/a             ,n/a             ,n/a             ,n/a             
27/07/2017 12:00,27/07/2017,12:00:00,n/a             ,n/a             ,n/a             ,n/a             ,n/a             ,n/a             ,n/a             
27/07/2017 12:15,27/07/2017,12:15:00,n/a             ,n/a             ,n/a             ,n/a             ,n/a             ,n/a             ,n/a             
27/07/2017 12:30,27/07/2017,12:30:00,n/a             ,n/a             ,n/a             ,n/a             ,n/a             ,n/a             ,n/a             
27/07/2017 12:45,27/07/2017,12:45:00,152.53009,66141.49946,101982.6668,-76452.26287,386.24165,223.00033,-0.64602
27/07/2017 13:00,27/07/2017,13:00:00,155.01514,66786.34019,103566.7688,-77992.31102,385.91792,222.80989,-0.64218
27/07/2017 13:15,27/07/2017,13:15:00,157.41221,67320.38516,105534.0541,-80113.65582,387.46871,223.70665,-0.63514
27/07/2017 13:30,27/07/2017,13:30:00,153.69387,64937.30126,102782.9022,-78539.77674,386.30654,223.04357,-0.62928
27/07/2017 13:45,27/07/2017,13:45:00,148.05567,60744.91081,99532.4395,-77942.60686,388.35877,224.22281,-0.61024
27/07/2017 14:00,27/07/2017,14:00:00,150.59149,60748.7197,101094.6562,-79756.53854,387.87401,223.93572,-0.59962
27/07/2017 14:15,27/07/2017,14:15:00,149.87253,60169.91645,100446.3239,-79260.01267,387.25412,223.57628,-0.59704
27/07/2017 14:30,27/07/2017,14:30:00,149.71864,60111.8645,99682.2066,-78576.44722,384.89845,222.22195,-0.60283
27/07/2017 14:45,27/07/2017,14:45:00,151.75579,62194.93225,101574.6875,-79254.85477,387.14366,223.52393,-0.61203
27/07/2017 15:00,27/07/2017,15:00:00,150.94313,61270.20278,100880.4833,-79073.13811,386.03569,222.89615,-0.60718
27/07/2017 15:15,27/07/2017,15:15:00,152.68615,62549.13898,101865.8997,-79390.96762,385.61821,222.63445,-0.61392
27/07/2017 15:30,27/07/2017,15:30:00,152.55468,63803.2497,101464.6097,-77833.67439,384.24329,221.84204,-0.62853
27/07/2017 15:45,27/07/2017,15:45:00,150.96343,61533.55942,100480.8207,-78303.92708,384.77495,222.13543,-0.61236
27/07/2017 16:00,27/07/2017,16:00:00,152.45124,55974.35339,102042.0236,-84256.47995,387.2129,223.57255,-0.54858
27/07/2017 16:15,27/07/2017,16:15:00,151.47629,55084.84905,101942.7766,-84678.65035,389.16212,224.69899,-0.54023
27/07/2017 16:30,27/07/2017,16:30:00,151.88262,54130.01654,102584.2412,-86067.05339,390.44239,225.42565,-0.52746
27/07/2017 16:45,27/07/2017,16:45:00,152.54732,55761.13694,103203.1188,-85776.47804,391.1414,225.82929,-0.54024
27/07/2017 17:00,27/07/2017,17:00:00,150.94107,53601.57352,101517.6518,-85321.38672,388.7577,224.45306,-0.52796
27/07/2017 17:15,27/07/2017,17:15:00,152.30114,53003.7056,102925.5245,-87373.94852,390.71788,225.58483,-0.51478
27/07/2017 17:30,27/07/2017,17:30:00,150.94334,50475.14918,102225.742,-88004.8625,391.26966,225.90341,-0.49369
27/07/2017 17:45,27/07/2017,17:45:00,152.10095,51323.72622,103090.1592,-88495.62604,391.72828,226.16804,-0.49757
27/07/2017 18:00,27/07/2017,18:00:00,151.345,50740.76224,102643.1814,-88335.45469,392.15655,226.41523,-0.49421
27/07/2017 18:15,27/07/2017,18:15:00,152.21663,51684.68763,103145.8963,-88427.58186,391.80594,226.21696,-0.50105
27/07/2017 18:30,27/07/2017,18:30:00,150.66841,49441.89258,102220.0214,-88611.01224,392.2636,226.47719,-0.48354
27/07/2017 18:45,27/07/2017,18:45:00,149.47203,51258.71775,100924.6239,-85946.92691,391.19324,225.86774,-0.50779
27/07/2017 19:00,27/07/2017,19:00:00,148.71011,50886.78342,100358.3209,-85642.53707,390.92112,225.69073,-0.50688
27/07/2017 19:15,27/07/2017,19:15:00,149.76932,52794.98043,101507.7875,-85790.3941,392.47306,226.62593,-0.52008
27/07/2017 19:30,27/07/2017,19:30:00,149.95152,54955.1895,101216.7533,-84015.27057,391.2193,225.87436,-0.54271
27/07/2017 19:45,27/07/2017,19:45:00,149.04949,53060.72361,100742.7828,-84772.9322,391.11001,225.81108,-0.52662
27/07/2017 20:00,27/07/2017,20:00:00,150.57227,53521.88607,102043.0031,-85916.92509,392.28202,226.48783,-0.52427
27/07/2017 20:15,27/07/2017,20:15:00,150.85074,54810.26085,102381.7625,-85538.56293,393.20499,227.02054,-0.53522
