DATE,TIME,A_PM02,W_PM02,VA_PM02         ,VAR_PM02        ,VLL_PM02        ,VLN_PM02        ,PF_PM02         
27/07/2017,07:15:00,1.47064,618.67009,1005.28969,-658.31758,395.1821,228.16739,n/a             
27/07/2017,07:30:00,1.47584,628.19969,1001.15035,-649.25739,392.08081,226.37121,n/a             
27/07/2017,07:45:00,1.47907,631.05252,998.0043,-642.77328,389.99379,225.16587,n/a             
27/07/2017,08:00:00,1.46713,618.77888,990.35513,-639.18977,390.25914,225.31844,n/a             
27/07/2017,08:15:00,1.46586,620.22799,980.69294,-627.99354,386.7613,223.29909,n/a             
27/07/2017,08:30:00,1.47826,634.54032,987.21789,-627.55842,385.95668,222.8345,n/a             
27/07/2017,08:45:00,1.46827,623.12169,979.05921,-624.02947,385.36653,222.49404,n/a             
27/07/2017,09:00:00,1.46804,620.56371,976.52745,-622.43004,384.44262,221.96089,n/a             
27/07/2017,09:15:00,1.46361,619.88946,971.67518,-618.58726,383.63431,221.49467,n/a             
27/07/2017,09:30:00,1.47616,634.85224,979.87471,-620.19445,383.53321,221.44142,n/a             
27/07/2017,09:45:00,1.47078,626.03152,973.91774,-616.57065,382.67462,220.93941,n/a             
27/07/2017,10:00:00,1.46627,620.68563,972.35734,-616.55236,383.25576,221.27399,n/a             
27/07/2017,10:15:00,1.46816,620.86538,973.46813,-616.21104,383.21078,221.24225,n/a             
27/07/2017,10:30:00,n/a             ,n/a             ,n/a             ,n/a             ,n/a             ,n/a             ,n/a             
27/07/2017,10:45:00,n/a             ,n/a             ,n/a             ,n/a             ,n/a             ,n/a             ,n/a             
27/07/2017,11:00:00,1.46828,622.04204,972.02349,-615.40449,382.58416,220.89156,-0.63996
27/07/2017,11:15:00,1.46753,622.0203,972.08195,-615.21184,382.76714,221.00165,-0.63991
27/07/2017,11:30:00,1.46913,622.31819,973.88047,-617.0127,383.03452,221.14932,-0.63904
27/07/2017,11:45:00,n/a             ,n/a             ,n/a             ,n/a             ,n/a             ,n/a             ,n/a             
